,category,subtopic,speaker,content
43,0,3,0bb47c,"Balik kepada soalan saya, individu yang menjalankan aktiviti pekerjaan sendiri yang terlibat dalam bidang p-hailing dan e-hailing adalah meliputi di bawah Skim Keselamatan Sosial Pekerjaan Sendiri yang tertakluk di bawah peruntukan Akta Keselamatan Sosial Pekerjaan Sendiri 2017 [Akta 789]. Strategi dan usaha berterusan sentiasa diambil perhatian oleh kerajaan bagi meningkatkan caruman Skim Perlindungan PERKESO dan Sistem Insurans Pekerjaan terutamanya bagi individu yang terlibat seperti mana yang dibangkitkan oleh Yang Berhormat Jempol yang bertanya soalan ini dalam bidang p-hailing dan e-hailing.
Antaranya mengadakan sesi libat urus dan turun padang yang melibatkan agensi kerajaan, platform penyedia perkhidmatan ekonomi gig, persatuan, pertubuhan dan sebagainya di seluruh negara disusun atur oleh pihak Kementerian Sumber Manusia melalui agensinya iaitu PERKESO. Sebagai contoh, kolaborasi bersama dengan kerjasama penggiat seni, Persatuan Pengguna Islam Malaysia, Angkatan Pertahanan Awam Malaysia dan Jabatan Agama Islam Malaysia. Selain daripada itu, kerajaan negeri juga memberi kerjasama yang amat baik dalam memastikan individu yang menjalankan aktiviti pekerjaan sendiri yang terlibat dalam bidang p-hailing dan e-hailing terus dilindungi. Ini merupakan komitmen kerajaan. Sebagai contoh, Kerajaan Negeri Terengganu telah memperuntukkan belanjawan sebanyak RM200 ribu setiap tahun mulai tahun 2018 sehingga tahun 2021 untuk menaja caruman di bawah Skim Keselamatan Sosial Pekerjaan Sendiri kepada pemandu teksi, kereta sewa, bas sekolah, pemandu bas sekolah, penghantar makanan, GanuShop dan juga beca. Melalui penajaan ini, seramai 1,000 orang rakyat di negeri Terengganu dalam perusahaan yang dinyatakan di atas telah mendapat manfaat. Di samping itu, kerajaan menerusi PERKESO turut mengadakan memorandum persefahaman bersama beberapa buah agensi kerajaan dan platform penyedia perkhidmatan bagi memperluaskan perlindungan keselamatan sosial kepada orang yang bekerja sendiri sepertimana Kementerian Pembangunan Usahawan dan Koperasi, Tabung Ekonomi Kumpulan Urus Niaga dan MyDrebar. Wakil daripada jabatan, agensi dan kesatuan telah dilantik sebagai ejen keselamatan sosial pekerjaan sendiri mengikut ketetapan
dalam terma dan syarat-syarat bagi maksud pungutan dan penerimaan bayaran caruman. Ejen keselamatan sosial pekerjaan sendiri juga bertanggungjawab melaksanakan aktiviti promosi, publisiti dan pemudah cara bagi tuntutan faedah keselamatan dan sosial pekerjaan sendiri. Sudah hendak habis. Selain itu, publisiti meluas secara aktif melalui hebahan di media juga dibuat iaitu Facebook, YouTube, WhatsApp, Instagram dan sebagainya. Jadi, bagi memastikan kesedaran kepentingan caruman Skim Perlindungan PERKESO dan Sistem Insurans Pekerjaan dapat dipertingkatkan dan seterusnya melindungi individu yang terlibat dalam bidang p-hailing dan e-hailing. Sekian, terima kasih Tuan Yang di-Pertua."
44,0,3,9d9ff2,Terima kasih. Yang Berhormat Jempol.
45,0,3,214353,"Terima kasih Tuan Yang di-Pertua. Jawapan yang cukup mantap daripada Yang Berhormat Menteri. Layak sangat jadi Menteri akan datanglah. Kalau menanglah. Jadi, pada tahun 2018 kementerian telah mewajibkan semua pemandu e-hailing untuk mendaftar dan mencarum kepada PERKESO yang juga dikenali sebagai SOSCO. Bagi p-hailing, tidak diwajibkan.
Jadi, adakah kementerian merasakan bahawa p-hailing ini tidak menyumbang kepada perkara yang mungkinnya ia terdedah kepada perkara-perkara yang boleh membawa kemalangan jalan raya dan sebagainya. Jadi soalan saya, apakah asas kementerian membuat ketetapan untuk tidak mewajibkan individu terlibat dengan bidang p-hailing untuk mencarum PERKESO? Apakah kementerian bercadang untuk memperkenalkan satu akta atau garis panduan bagi golongan penghantar industri p-hailing supaya dapat menjamin kebajikan dan keselamatan mereka? Mohon Yang Berhormat Menteri untuk menjawab. Terima kasih."
46,0,3,0bb47c,"Terima kasih sahabat saya Yang Berhormat Jempol. Soalan yang sangat baik, satu marketing, satu pemasaran bagi pihak PERKESO untuk kita turun ke bawah supaya maklumat ini diberi perhatian dan merasa ini adalah hak mereka. Jadi, saya ucapkan terima kasih sekali lagi kepada sahabat saya yang jack saya tadi ini, dia jack saya. Tidak apalah, kita tengok macam mana ke hadapan. [Ketawa] Tuan Yang di-Pertua, sebenarnya untuk makluman Dewan yang mulia ini, individu yang bekerja sendiri yang terlibat dalam bidang p-hailing telah pun diwajibkan supaya berdaftar dengan mencarum dalam PERKESO di bawah Skim Keselamatan Sosial Pekerjaan Sendiri.
Perkataan wajib, yang itu mesti. Jadi, saya menjawab soalan apabila saya kata wajib.
 Bagi orang-orang yang menjalankan perkhidmatan termasuk juga yang selaras dengan pewartaan caruman Peraturan-peraturan Keselamatan Sosial Pekerjaan Sendiri. Kadar caruman bagi orang yang menjalankan perkhidmatan pengangkutan dan penghantaran barangan atau makanan 2021 melalui akta. Ini juga saya menjawab soalan.
Tanya akta tadi, iaitu pindaan undang-undang (a) 372 bertarikh 21 September 2021 baharu ini, mula berkuat kuasa pada 1 Oktober 2021.
Saya jawab soalan daripada segi pindaan akta-akta bagi melindungi mereka yang disebut, dibangkitkan oleh soalan tambahan tadi.
 Jadi, orang yang bekerja sendiri ini di bawah Akta 789 bermula dengan caruman yang sangat rendah iaitu bermula kita ada empat kategori segmentasi bagi mereka- yang akan mencarum iaitu bermula dengan satu tahun, RM157.20. Satu tahun, RM232.80 yang mana kerajaan memberi insentif ataupun subsidi sebanyak 70 peratus pada tahun ini dan kami dikhabarkan telah diputuskan bahawa tahun hadapan, 2022 kerajaan memberi insentif 80 peratus.
Daripada RM232.80 ini, kerajaan memberi insentif 80 peratus. Hanya lebih kurang RM20, RM29 ke RM30 lebih, akan dibayar oleh pencarum dalam masa setahun.
 Seterusnya, kita ada lagi, skim kita RM442.80 yang memberi perlindungan sehingga ke isteri apabila berlaku kemalangan jiwa dan sebagainya, dia melindung anak-anak, melindung isteri, sehingga dia meninggal. Pencen ilat, dipanggil pencen penakat dan seterusnya anak-anaknya diberi juga pencen sehingga umur 18 dan belajar ke universiti juga diberi perlindungan oleh mereka yang mencarum dalam caruman ini."
47,0,3,9d9ff2,Tolong ringkaskan Yang Berhormat.
48,0,3,0bb47c,"Nanti, tidak habis lagi."
49,0,3,9d9ff2,Cepat sedikit.
50,0,3,0bb47c,"Saya hendak jawab soalan Yang Berhormat Jempol, sedikit lagi."
51,0,3,9d9ff2,"Ya, ya, ya."
52,0,3,0bb47c,"Sedikit lagi. Dengan cara kaedah pelaksanaan mandatori ini jaminan keselamatan sosial terhadap orang yang menjalankan perkhidmatan pengangkutan dan penghantaran barangan atau makanan ini akan lebih terpelihara dan terjamin. Sekian, terima kasih."
53,0,3,9d9ff2,Terima kasih. Yang Berhormat Lembah Pantai.
54,0,3,71b802,"Terima kasih Tuan Yang di-Pertua dan terima kasih Yang Berhormat Timbalan Menteri. Saya dapat aduan kadang-kadang daripada pemandu p-hailing dan e-hailing ini, kadang-kadang mereka mempunyai akaun, yang mereka gunakan adalah akaun abang ataupun adik.
Jadi, mereka membawa parcel ataupun bawa makanan itu dan mereka terlibat dalam kemalangan, kemudian apabila berlaku kemalangan, mereka tidak terjamin walaupun syarikat tersebut mendapat manfaat apabila mereka menghantar. Seperti tidak ada perlindungan.
 Adakah Yang Berhormat Timbalan Menteri mempunyai statistik berapa ramai pemandu e-hailing dan p-hailing yang menggunakan akaun bukan mereka punya.
Maksudnya adik-beradik dan apakah dasar kerajaan untuk memastikan walaupun seseorang itu membawa bukan atas nama akaun tetapi mereka tetap dijaga daripada segi keselamatan pekerja. Terima kasih."
55,0,3,0bb47c,"Terima kasih kepada saudara yang bertanya dari Lembah Pantai.
Alhamdulillah, setiap undang-undang yang kita buat mesti masih ada lagi loophole ataupun kelonggaran-kelonggaran yang ada. Kami di pihak kementerian sentiasa mengalu-alukan cadangan untuk penambahbaikan yang memanglah apabila kita membuat peraturan kita menetapkan nama kepada mereka dan juga mereka yang terlibat dalam industri tersebut. Jadi, kalau pendaftaran berlaku atas nama lain daripada mereka yang menjalankan tugas itu, jadi kita nampak ini, kita perlu tambah baik lagi.
Saya tidak ada data lagi berkenaan dengan yang dibangkitkan oleh Yang Berhormat Lembah Pantai. Mereka yang menggunakan nama-nama kedua dan ketiga, insya-Allah kita akan dapatkan, kita akan jawab nanti, insya-Allah. Ini baguslah. Saya ucapkan terima kasih sebab benda-benda macam ini kita perlu beri perhatian yang serius kerana mereka yang menggunakan nama kedua dan ketiga ini sebab mungkin ada sesuatu menyebabkan mereka tidak boleh mendaftar sebagai GrabFood dan sebagainya dalam e-hailing dan p-hailing ini. Jadi, kita prihatinlah kepada mereka.
Terima kasihlah Yang Berhormat Lembah Pantai yang membangkitkan perkara ini."
56,0,3,9d9ff2,Terima kasih.
57,0,3,74559b,[Bangun]
58,0,3,f3f0cf,[Bangun]
59,0,3,9d9ff2,"Yang Berhormat Kapar, Yang Berhormat Kapar sudah lama."
60,0,3,74559b,Yang Berhormat Kapar dahulu?
61,0,3,f3f0cf,Terima kasih Tuan Yang di-Pertua.
62,0,3,9d9ff2,"Ringkas, ringkas ya."
63,0,3,f3f0cf,"Meneliti daripada jawapan Yang Berhormat Timbalan Menteri melalui pengalaman kita berhadapan COVID-19, merasai keperluan untuk mengkaji semula SIP dengan lebih proaktif, dengan meneliti sumbangan pencarum dan syarikat di samping menambah faedah-faedah keperluan daripada mereka yang mencarum, menggalakkan mereka dalam perlindungan Pertubuhan Keselamatan Sosial iaitu PERKESO.
 Soalan saya ialah adakah keperluan-keperluan untuk mengkaji semula dan memberikan tumpuan untuk faedah-faedah tambahan supaya menarik minat mereka untuk mencarum? Terima kasih Tuan Yang di-Pertua."
64,0,3,9d9ff2,Terima kasih.
