record_id,author_id,author_name,party,area_id,area_name,area_state,exec_posts,service_posts,start_date,end_date
1216,2273,PETER CHIN FAH KUI,BN - SUPP,1083.0,P.219 Miri,Sarawak,"Menteri Tenaga, Teknologi Hijau Dan Air",nan,08/03/2008,03/04/2013
1217,2289,AZMI BIN KHALID,BN - UMNO,673.0,P.001 Padang Besar,Perlis,nan,nan,08/03/2008,03/04/2013
1218,2333,MUSTAPA BIN MOHAMED,BN - UMNO,702.0,P.030 Jeli,Kelantan,Menteri Perdagangan Antarabangsa Dan Industri,nan,08/03/2008,03/04/2013
1219,2333,MUSTAPA BIN MOHAMED,BN - UMNO,702.0,P.030 Jeli,Kelantan,Menteri Perdagangan Antarabangsa dan Industri,nan,05/05/2013,07/04/2018
1220,2333,MUSTAPA BIN MOHAMED,BN - UMNO,702.0,P.030 Jeli,Kelantan,Menteri di Jabatan Perdana Menteri (Ekonomi),nan,09/05/2018,18/09/2018
1221,2333,MUSTAPA BIN MOHAMED,BEBAS,702.0,P.030 Jeli,Kelantan,Menteri di Jabatan Perdana Menteri (Ekonomi),nan,18/09/2018,26/10/2018
1222,2333,MUSTAPA BIN MOHAMED,BERSATU,702.0,P.030 Jeli,Kelantan,Menteri di Jabatan Perdana Menteri (Ekonomi),nan,26/10/2018,10/10/2022
1223,2368,MOHAMED NAZRI BIN TAN SRI ABDUL AZIZ,BN - UMNO,910.0,P.061 Padang Rengas,Perak,Menteri di Jabatan Perdana Menteri,nan,08/03/2008,03/04/2013
1224,2368,MOHAMED NAZRI BIN TAN SRI ABDUL AZIZ,BN - UMNO,910.0,P.061 Padang Rengas,Perak,Menteri Pelancongan Dan Kebudayaan,nan,05/05/2013,07/04/2018
1225,2368,MOHAMED NAZRI BIN TAN SRI ABDUL AZIZ,BN - UMNO,910.0,P.061 Padang Rengas,Perak,nan,nan,09/05/2018,10/10/2022
1226,2393,AHMAD ZAHID BIN HAMIDI,BN - UMNO,924.0,P.075 Bagan Datok,Perak,Menteri Pertahanan,nan,08/03/2008,03/04/2013
1227,2393,AHMAD ZAHID BIN HAMIDI,BN - UMNO,1087.0,P.075 Bagan Datuk,Perak,Timbalan Perdana Menteri / Menteri Dalam Negeri,nan,05/05/2013,07/04/2018
1228,2393,AHMAD ZAHID BIN HAMIDI,BN - UMNO,1087.0,P.075 Bagan Datuk,Perak,nan,nan,09/05/2018,10/10/2022
1229,2393,AHMAD ZAHID BIN HAMIDI,BN,1087.0,P.075 Bagan Datuk,Perak,Timbalan Perdana Menteri dan Menteri Kemajuan Desa dan Wilayah,Timbalan Ketua Majlis,19/11/2022,
1230,2404,FAUZI ABDUL RAHMAN,PKR,931.0,P.082 Indera Mahkota,Pahang,nan,nan,05/05/2013,07/04/2018
1231,2411,TENGKU AZLAN IBNI ALMARHUM SULTAN ABU BAKAR,BN - UMNO,930.0,P.081 Jerantut,Pahang,nan,nan,08/03/2008,03/04/2013
1232,2416,NOH BIN HAJI OMAR,BN - UMNO,944.0,P.095 Tanjong Karang,Selangor,Menteri Pertanian Dan Industri Asas Tani,nan,08/03/2008,03/04/2013
1233,2416,NOH BIN HAJI OMAR,BN - UMNO,944.0,P.095 Tanjong Karang,Selangor,"Menteri Kesejahteraan Bandar, Perumahan dan Kerajaan Tempatan",nan,05/05/2013,07/04/2018
1234,2416,NOH BIN HAJI OMAR,BN - UMNO,944.0,P.095 Tanjong Karang,Selangor,Menteri Pembangunan Usahawan dan Koperasi,nan,09/05/2018,10/10/2022
1235,2436,TAN YEE KEW,PH - PKR,965.0,P.116 Wangsa Maju,W.P. Kuala Lumpur,nan,nan,09/05/2018,10/10/2022
1236,2447,TAN KEE KWONG,PKR,965.0,P.116 Wangsa Maju,W.P. Kuala Lumpur,nan,nan,05/05/2013,07/04/2018
1237,2471,FONG CHAN ONN,BN - MCA,984.0,P.135 Alor Gajah,Melaka,nan,nan,08/03/2008,03/04/2013
1238,2501,MOHAMED HANIPA BIN MAIDIN,PAS ,962.0,P.113 Sepang,Selangor,nan,nan,05/05/2013,16/09/2015
1239,2501,MOHAMED HANIPA BIN MAIDIN,AMANAH,962.0,P.113 Sepang,Selangor,nan,nan,16/09/2015,07/04/2018
1240,2501,MOHAMED HANIPA BIN MAIDIN,PH - AMANAH,962.0,P.113 Sepang,Selangor,nan,nan,09/05/2018,10/10/2022
1241,2550,CHUA SOON BUI,SAPP,1039.0,P.190 Tawau,Sabah,nan,nan,08/03/2008,03/04/2013
1242,2574,TIONG THAI KING,BN - SUPP,1075.0,P.211 Lanang,Sarawak,nan,nan,08/03/2008,03/04/2013
1243,2586,JACOB DUNGAU SAGAN,BN - SPDP,1084.0,P.220 Baram,Sarawak,Timbalan Menteri Perdagangan Antarabangsa Dan Industri,nan,08/03/2008,03/04/2013
1244,2615,SAIFUDDIN NASUTION BIN ISMAIL,PKR,701.0,P.029 Machang,Kelantan,nan,nan,08/03/2008,03/04/2013
1245,2615,SAIFUDDIN NASUTION BIN ISMAIL,PH - PKR,690.0,P.018 Kulim-Bandar Baharu,Kedah,nan,nan,09/05/2018,10/10/2022
1246,2615,SAIFUDDIN NASUTION BIN ISMAIL,PKR,nan,,,Menteri Dalam Negeri,Ahli Dewan Rakyat,19/11/2022,
1247,2615,SAIFUDDIN NASUTION BIN ISMAIL,PKR,nan,,,Menteri Dalam Negeri,Ahli Dewan Negara,03/12/2022,02/12/2025
1248,2655,ABDULLAH BIN HAJI AHMAD BADAWI,BN - UMNO,713.0,P.041 Kepala Batas,Pulau Pinang,nan,nan,08/03/2008,03/04/2013
1249,2661,CHONG ENG,DAP,717.0,P.045 Bukit Mertajam,Pulau Pinang,nan,nan,08/03/2008,03/04/2013
1250,2665,CHOW KON YEOW,DAP,898.0,P.049 Tanjong,Pulau Pinang,nan,nan,08/03/2008,03/04/2013
1251,2665,CHOW KON YEOW,PH - DAP,898.0,P.049 Tanjong,Pulau Pinang,nan,nan,09/05/2018,10/10/2022
1252,2665,CHOW KON YEOW,PH,895.0,P.046 Batu Kawan,Pulau Pinang,nan,nan,19/11/2022,
1253,2678,ROSLAN BIN SHAHARUM,PAS,908.0,P.059 Bukit Gantang,Perak,nan,nan,08/03/2008,09/02/2009
1254,2692,FONG PO KUAN,DAP,915.0,P.066 Batu Gajah,Perak,nan,nan,08/03/2008,03/04/2013
1255,2706,KONG CHO HA,BN - MCA,923.0,P.074 Lumut,Perak,Menteri Pengangkutan,nan,08/03/2008,03/04/2013
1256,2709,MAH SIEW KEONG,BN - GERAKAN,925.0,P.076 Telok Intan,Perak,Menteri Perusahaan Perladangan dan Komoditi,nan,31/05/2014,07/04/2018
